newsId,title,summary,link
6119732,〈台股開盤〉台積電回穩 AI、塑化族群點火 反彈逾350點拚收復2萬4,〈台股開盤〉台積電回穩 AI、塑化族群點火 反彈逾 350 點拚收復 2 萬 4 失土。,https://m.cnyes.com/news/id/6119732
6119545,國際金價回落至三周低點 但黃金股淨利集體暴漲 誰在主導市場？,,https://m.cnyes.com/news/id/6119545
6106143,告別選擇困難！這檔ETF聚焦世界級龍頭成長股 專家把關，主動贏擊!,,https://m.cnyes.com/news/id/6106143
6119573,安盛生現增銀彈到位 H2優於H1全年轉盈目標不變,安盛生現金增資案順利完成，以每股 6 元折價發行新股 1 萬張，總計募集 6000 萬元資金全數到位。安盛生指出，下半年進入傳統旺季，在既有產品需求暢旺，加上 OMO 商業模式可望展現初步效益，預期下半年營運將優於上半年，轉盈目標不變。,https://m.cnyes.com/news/id/6119573
6119634,馬斯克被曝擱置「建黨計畫」本人回應：假新聞！,《華爾街日報》披露，全球首富馬斯克悄然暫停啟動新黨「美國黨」（The America Party）的計畫，馬斯克對此回應道：「永遠不要認為《華爾街日報》說的任何話是真實的。」,https://m.cnyes.com/news/id/6119634
6119628,〈晶技展望〉全年營收維持3-5%成長 下半年營收估仍將優於上半年,全球頻率元件龍頭廠晶技 (3042-TW) 提出最新營運展望，執行長林萬興對全年營收表示仍將成長，且第三季營收將較上季再小幅成長同時，但全年的上、下年營收比重將維持於 49%：51%。,https://m.cnyes.com/news/id/6119628
6119623,〈晶技展望〉車用市場需求強大 達成營收占比3成目標將大幅提前,晶技執行長林萬興對全年營收表示仍將成長同時，同時晶技頻率元件在 AI 及汽車應用仍在營運版圖仍有大幅度的擴張，在汽車應用在陸續打入全球 Tier 1 構裝廠，預估汽車應用達成營收比重 30% 的目標將提前在明、後年達成。,https://m.cnyes.com/news/id/6119623
6119627,美國副總統：烏克蘭安全保障主要應由歐洲承擔,美國副總統范斯在接受《Fox News》周三（20 日）採訪時表示，歐洲國家必須承擔烏克蘭安全保障的主要責任。,https://m.cnyes.com/news/id/6119627
6119572,今年僅漲2%！加拿大皇家銀行：美小型股動力嚴重不足 IPO熱潮或有助受市場青睞,,https://m.cnyes.com/news/id/6119572
6119617,赫茲計劃在亞馬遜上賣車 股價大漲6% 線上二手車商Carvana股價下滑,汽車租賃公司赫茲 (Hertz Global)(HTZ-US) 周三股價大漲近 6%，係因該公司宣布計劃在亞馬遜 (AMZN-US) 上銷售汽車。,https://m.cnyes.com/news/id/6119617
6119597,〈台股盤前要聞〉股匯雙殺 外資狂賣台積電、上海南僑7月首虧、旺矽MEMS探針卡急擴產,台股盤前要聞,https://m.cnyes.com/news/id/6119597
6119622,韓國政府考慮引入「快樂星期一」 形成三天小長假,為刺激消費、提振經濟，韓國政府正在探討效仿美國、日本推行「長周末」制度，即將部分固定日期的法定節假日調整至周一，形成三天小長假。,https://m.cnyes.com/news/id/6119622
6119604,美科技股拋售潮 凸顯AI交易脆弱性,LSEG Datastream 數據顯示，科技板塊 12 個月預估本益比已達 30 倍，創近一年新高，科技股市值占標普 500 總市值比重接近 2000 年網路泡沫高峰。,https://m.cnyes.com/news/id/6119604
6119621,川普將簽行政令 限制焚燒美國國旗,《NewsNation》報導，美國總統川普計劃於週四 (21 日) 簽署一項行政命令，針對焚燒美國國旗的相關行為加強管制，並尋求在現行法律框架下的刑事追訴途徑。,https://m.cnyes.com/news/id/6119621
6119561,馬斯克：特斯拉六人座版Model Y 可能永遠不會在美國上市,美國電動車大廠特斯拉（Tesla）執行長馬斯克周三（20 日）表示，旗下全新六人座版 Model Y（Model Y L）可能永遠不會在美國上市。,https://m.cnyes.com/news/id/6119561
